number,value,datetime_start,datetime_complete,duration,params_birth_rate_young,params_death_old_base,params_emission_intensity,params_institutional_entropy_divisor,params_mat_base,params_mat_industry_coef,params_serv_base,params_serv_info_coef,params_war_prob,state
0,5.507913142760826,2026-07-05 21:23:23.255663,2026-07-05 21:23:24.198842,0 days 00:00:00.943179,0.04624074561769746,0.10935967122017216,7.348118405270451e-05,34065852.85177396,0.021236203565420872,0.019260714596148743,0.0346398788362281,0.010585243326167403,0.0320501755284444,COMPLETE
1,5.2094993524258175,2026-07-05 21:23:24.289169,2026-07-05 21:23:25.191220,0 days 00:00:00.902051,0.04849356442713105,0.11090949803242604,2.0148477884158675e-05,42838315.68974037,0.031242177333881363,0.005308767414437037,0.03939819704323989,0.013156869048804639,0.028614039423450706,COMPLETE
2,4.548038472008248,2026-07-05 21:23:25.191635,2026-07-05 21:23:25.993089,0 days 00:00:00.801454,0.05168578594140873,0.1219817105976215,6.097839109531521e-05,61924898.89519252,0.02295835055926347,0.009368437102970629,0.03223705789444759,0.00553443246717246,0.01398532019712619,COMPLETE
3,4.955068297496039,2026-07-05 21:23:25.993521,2026-07-05 21:23:26.909330,0 days 00:00:00.915809,0.04682096494749166,0.10390309557911678,9.239150319627251e-05,96421987.60773332,0.025427033152408348,0.013886218532930636,0.020929008254399955,0.01068299337091582,0.04137788066524075,COMPLETE
4,4.9641910235649265,2026-07-05 21:23:26.909765,2026-07-05 21:23:27.815155,0 days 00:00:00.905390,0.044881529393791156,0.1297106146066762,8.115595675970508e-05,32407196.47806529,0.01913841307520112,0.006465081710095758,0.03368466053024314,0.008841677431135614,0.016645099172000764,COMPLETE
5,4.825123269848828,2026-07-05 21:23:27.815574,2026-07-05 21:23:28.637895,0 days 00:00:00.822321,0.047394178221021085,0.15817507766587352,8.699593128513334e-05,84259297.63527802,0.02987566853061946,0.009675666141341164,0.030401360423556217,0.010013813072776077,0.0452672307692442,COMPLETE
6,4.728686085480051,2026-07-05 21:23:28.638284,2026-07-05 21:23:29.465456,0 days 00:00:00.827172,0.041809091556421527,0.11951981984579586,1.8678802571070677e-05,57207410.27826374,0.027936999364332554,0.018828113525346753,0.021769850041038392,0.006155811486610597,0.042293187911836824,COMPLETE
7,4.843557407718134,2026-07-05 21:23:29.465890,2026-07-05 21:23:30.401452,0 days 00:00:00.935562,0.07208787923016158,0.10447303862078626,5.918951335463651e-05,99082085.56203622,0.02070259980080768,0.009214017645310713,0.03085392166316497,0.005550166474722389,0.013942205669037758,COMPLETE
8,4.863656272791225,2026-07-05 21:23:30.401866,2026-07-05 21:23:31.288583,0 days 00:00:00.886717,0.07085081386743783,0.10444267910404542,1.305777134899722e-05,55092600.99809908,0.010165663513708073,0.017231921426822512,0.034137146876952344,0.01201907884845086,0.04383965416440171,COMPLETE
9,4.167589553191361,2026-07-05 21:23:31.289056,2026-07-05 21:23:32.081475,0 days 00:00:00.792419,0.05300733288106988,0.14377637070028385,7.712811947156355e-05,74629022.99486491,0.028698943804826738,0.009963470372789739,0.021271167005720473,0.007420805538872284,0.02624967163228772,COMPLETE
